,source_id,costs,date
0,1,75.2,2017-06-01
1,1,62.25,2017-06-02
2,1,36.53,2017-06-03
3,1,55.0,2017-06-04
4,1,57.08,2017-06-05
5,1,40.39,2017-06-06
6,1,40.59,2017-06-07
7,1,56.63,2017-06-08
8,1,40.16,2017-06-09
9,1,43.24,2017-06-10
10,1,21.68,2017-06-11
11,1,27.48,2017-06-12
12,1,44.66,2017-06-13
13,1,30.7,2017-06-14
14,1,39.71,2017-06-15
15,1,39.1,2017-06-16
16,1,21.41,2017-06-17
17,1,50.04,2017-06-18
18,1,25.08,2017-06-19
19,1,25.37,2017-06-20
20,1,22.6,2017-06-21
21,1,21.68,2017-06-22
22,1,28.6,2017-06-23
23,1,10.72,2017-06-24
24,1,22.03,2017-06-25
25,1,31.91,2017-06-26
26,1,47.73,2017-06-27
27,1,38.48,2017-06-28
28,1,32.58,2017-06-29
29,1,36.98,2017-06-30
30,1,5.8,2017-07-01
31,1,27.99,2017-07-02
32,1,21.56,2017-07-03
33,1,37.63,2017-07-04
34,1,22.11,2017-07-05
35,1,23.32,2017-07-06
36,1,47.25,2017-07-07
37,1,32.26,2017-07-08
38,1,54.94,2017-07-09
39,1,30.69,2017-07-10
40,1,24.08,2017-07-11
41,1,53.53,2017-07-12
42,1,34.52,2017-07-13
43,1,63.52,2017-07-14
44,1,52.47,2017-07-15
45,1,34.02,2017-07-16
46,1,90.87,2017-07-17
47,1,54.31,2017-07-18
48,1,46.85,2017-07-19
49,1,28.46,2017-07-20
50,1,36.25,2017-07-21
51,1,20.98,2017-07-22
52,1,28.1,2017-07-23
53,1,48.58,2017-07-24
54,1,13.31,2017-07-25
55,1,27.38,2017-07-26
56,1,9.92,2017-07-27
57,1,23.5,2017-07-28
58,1,12.6,2017-07-29
59,1,34.96,2017-07-30
60,1,31.12,2017-07-31
61,1,44.65,2017-08-01
62,1,25.47,2017-08-02
63,1,19.96,2017-08-03
64,1,23.08,2017-08-04
65,1,26.49,2017-08-05
66,1,13.21,2017-08-06
67,1,27.78,2017-08-07
68,1,33.71,2017-08-08
69,1,19.67,2017-08-09
70,1,32.73,2017-08-10
71,1,29.93,2017-08-11
72,1,16.04,2017-08-12
73,1,17.01,2017-08-13
74,1,45.75,2017-08-14
75,1,34.63,2017-08-15
76,1,22.07,2017-08-16
77,1,50.77,2017-08-17
78,1,31.57,2017-08-18
79,1,23.2,2017-08-19
80,1,37.04,2017-08-20
81,1,25.09,2017-08-21
82,1,32.48,2017-08-22
83,1,22.42,2017-08-23
84,1,33.88,2017-08-24
85,1,26.18,2017-08-25
86,1,30.38,2017-08-26
87,1,46.25,2017-08-27
88,1,50.07,2017-08-28
89,1,28.25,2017-08-29
90,1,43.79,2017-08-30
91,1,38.26,2017-08-31
92,1,40.28,2017-09-01
93,1,26.16,2017-09-02
94,1,24.95,2017-09-03
95,1,36.48,2017-09-04
96,1,48.53,2017-09-05
97,1,61.1,2017-09-06
98,1,29.06,2017-09-07
99,1,53.66,2017-09-08
100,1,41.98,2017-09-09
101,1,22.83,2017-09-10
102,1,48.02,2017-09-11
103,1,31.75,2017-09-12
104,1,49.61,2017-09-13
105,1,54.86,2017-09-14
106,1,49.8,2017-09-15
107,1,30.24,2017-09-16
108,1,45.97,2017-09-17
109,1,61.06,2017-09-18
110,1,45.41,2017-09-19
111,1,75.74,2017-09-20
112,1,55.05,2017-09-21
113,1,58.6,2017-09-22
114,1,18.34,2017-09-23
115,1,31.84,2017-09-24
116,1,86.61,2017-09-25
117,1,68.59,2017-09-26
118,1,86.83,2017-09-27
119,1,75.52,2017-09-28
120,1,84.04,2017-09-29
121,1,59.1,2017-09-30
122,1,57.14,2017-10-01
123,1,86.51,2017-10-02
124,1,78.73,2017-10-03
125,1,90.78,2017-10-04
126,1,85.21,2017-10-05
127,1,76.57,2017-10-06
128,1,72.02,2017-10-07
129,1,42.54,2017-10-08
130,1,89.25,2017-10-09
131,1,56.04,2017-10-10
132,1,63.58,2017-10-11
133,1,106.59,2017-10-12
134,1,78.87,2017-10-13
135,1,55.8,2017-10-14
136,1,49.88,2017-10-15
137,1,64.75,2017-10-16
138,1,46.35,2017-10-17
139,1,66.2,2017-10-18
140,1,67.95,2017-10-19
141,1,125.68,2017-10-20
142,1,65.58,2017-10-21
143,1,60.25,2017-10-22
144,1,70.44,2017-10-23
145,1,124.55,2017-10-24
146,1,61.38,2017-10-25
147,1,106.66,2017-10-26
148,1,62.53,2017-10-27
149,1,55.19,2017-10-28
150,1,78.69,2017-10-29
151,1,97.1,2017-10-30
152,1,72.94,2017-10-31
153,1,69.03,2017-11-01
154,1,98.15,2017-11-02
155,1,77.4,2017-11-03
156,1,48.34,2017-11-04
157,1,60.5,2017-11-05
158,1,65.54,2017-11-06
159,1,78.5,2017-11-07
160,1,74.46,2017-11-08
161,1,63.55,2017-11-09
162,1,65.79,2017-11-10
163,1,77.93,2017-11-11
164,1,73.18,2017-11-12
165,1,115.58,2017-11-13
166,1,61.88,2017-11-14
167,1,64.81,2017-11-15
168,1,97.95,2017-11-16
169,1,97.08,2017-11-17
170,1,89.38,2017-11-18
171,1,40.22,2017-11-19
172,1,77.1,2017-11-20
173,1,49.84,2017-11-21
174,1,72.41,2017-11-22
175,1,112.96,2017-11-23
176,1,245.75,2017-11-24
177,1,116.21,2017-11-25
178,1,46.36,2017-11-26
179,1,75.91,2017-11-27
180,1,84.19,2017-11-28
181,1,79.11,2017-11-29
182,1,66.05,2017-11-30
183,1,55.1,2017-12-01
184,1,63.1,2017-12-02
185,1,69.72,2017-12-03
186,1,75.08,2017-12-04
187,1,123.17,2017-12-05
188,1,95.2,2017-12-06
189,1,57.39,2017-12-07
190,1,86.1,2017-12-08
191,1,41.62,2017-12-09
192,1,94.17,2017-12-10
193,1,102.23,2017-12-11
194,1,78.76,2017-12-12
195,1,72.29,2017-12-13
196,1,63.48,2017-12-14
197,1,89.68,2017-12-15
198,1,115.35,2017-12-16
199,1,59.59,2017-12-17
200,1,87.79,2017-12-18
201,1,91.65,2017-12-19
202,1,67.61,2017-12-20
203,1,99.91,2017-12-21
204,1,90.16,2017-12-22
205,1,55.53,2017-12-23
206,1,40.65,2017-12-24
207,1,88.39,2017-12-25
208,1,102.8,2017-12-26
209,1,59.0,2017-12-27
210,1,40.7,2017-12-28
211,1,78.58,2017-12-29
212,1,56.74,2017-12-30
213,1,39.66,2017-12-31
214,1,82.86,2018-01-01
215,1,70.96,2018-01-02
216,1,88.77,2018-01-03
217,1,83.95,2018-01-04
218,1,77.45,2018-01-05
219,1,47.29,2018-01-06
220,1,63.5,2018-01-07
221,1,30.97,2018-01-08
222,1,54.71,2018-01-09
223,1,81.81,2018-01-10
224,1,79.24,2018-01-11
225,1,54.48,2018-01-12
226,1,36.75,2018-01-13
227,1,53.25,2018-01-14
228,1,96.79,2018-01-15
229,1,82.05,2018-01-16
230,1,52.93,2018-01-17
231,1,31.47,2018-01-18
232,1,89.01,2018-01-19
233,1,50.77,2018-01-20
234,1,59.89,2018-01-21
235,1,87.81,2018-01-22
236,1,70.27,2018-01-23
237,1,83.17,2018-01-24
238,1,61.46,2018-01-25
239,1,68.03,2018-01-26
240,1,71.26,2018-01-27
241,1,61.7,2018-01-28
242,1,98.53,2018-01-29
243,1,117.35,2018-01-30
244,1,97.7,2018-01-31
245,1,104.67,2018-02-01
246,1,78.98,2018-02-02
247,1,51.0,2018-02-03
248,1,49.93,2018-02-04
249,1,80.3,2018-02-05
250,1,54.15,2018-02-06
251,1,87.95,2018-02-07
252,1,49.97,2018-02-08
253,1,90.23,2018-02-09
254,1,66.7,2018-02-10
255,1,88.5,2018-02-11
256,1,91.64,2018-02-12
257,1,112.28,2018-02-13
258,1,103.04,2018-02-14
259,1,129.46,2018-02-15
260,1,57.28,2018-02-16
261,1,50.57,2018-02-17
262,1,60.41,2018-02-18
263,1,93.1,2018-02-19
264,1,81.51,2018-02-20
265,1,77.12,2018-02-21
266,1,99.56,2018-02-22
267,1,76.71,2018-02-23
268,1,74.39,2018-02-24
269,1,72.7,2018-02-25
270,1,77.29,2018-02-26
271,1,89.24,2018-02-27
272,1,55.8,2018-02-28
273,1,68.14,2018-03-01
274,1,76.1,2018-03-02
275,1,39.55,2018-03-03
276,1,48.04,2018-03-04
277,1,80.71,2018-03-05
278,1,76.26,2018-03-06
279,1,55.27,2018-03-07
280,1,56.41,2018-03-08
281,1,62.35,2018-03-09
282,1,48.78,2018-03-10
283,1,49.35,2018-03-11
284,1,64.66,2018-03-12
285,1,97.46,2018-03-13
286,1,70.02,2018-03-14
287,1,56.05,2018-03-15
288,1,50.22,2018-03-16
289,1,18.37,2018-03-17
290,1,50.77,2018-03-18
291,1,57.07,2018-03-19
292,1,69.43,2018-03-20
293,1,80.4,2018-03-21
294,1,102.05,2018-03-22
295,1,59.97,2018-03-23
296,1,78.98,2018-03-24
297,1,87.7,2018-03-25
298,1,69.98,2018-03-26
299,1,108.24,2018-03-27
300,1,63.78,2018-03-28
301,1,40.0,2018-03-29
302,1,6.98,2018-03-30
303,1,15.67,2018-04-02
304,1,42.96,2018-04-03
305,1,55.59,2018-04-04
306,1,43.52,2018-04-05
307,1,54.06,2018-04-06
308,1,44.17,2018-04-07
309,1,28.57,2018-04-08
310,1,21.56,2018-04-09
311,1,41.21,2018-04-10
312,1,42.23,2018-04-11
313,1,54.32,2018-04-12
314,1,61.05,2018-04-13
315,1,27.15,2018-04-14
316,1,37.02,2018-04-15
317,1,34.66,2018-04-16
318,1,48.96,2018-04-17
