,u_id,revenue,buy_ts
0,10329302124590727494,17.0,2017-06-01 00:10:00
1,11627257723692907447,0.55,2017-06-01 00:25:00
2,17903680561304213844,0.37,2017-06-01 00:27:00
3,16109239769442553005,0.55,2017-06-01 00:29:00
4,14200605875248379450,0.37,2017-06-01 07:58:00
5,10402394430196413321,0.18,2017-06-01 08:43:00
6,12464626743129688638,1.83,2017-06-01 08:54:00
7,3644482766749211722,1.22,2017-06-01 09:22:00
8,17542070709969841479,3.3,2017-06-01 09:22:00
9,1074355127080856382,0.37,2017-06-01 09:23:00
10,12888070354554424008,2.81,2017-06-01 09:58:00
11,4409266971612110231,1.22,2017-06-01 10:27:00
12,8635489015105716934,9.78,2017-06-01 10:33:00
13,8995168848618027177,1.83,2017-06-01 10:38:00
14,2050423809815667474,2.08,2017-06-01 10:38:00
15,18335282082749800806,4.15,2017-06-01 10:43:00
16,9454788256069675152,7.33,2017-06-01 10:49:00
17,11062788618907079633,3.73,2017-06-01 10:58:00
18,6481195116107172636,1.67,2017-06-01 11:01:00
19,7161516173674142289,0.49,2017-06-01 11:06:00
20,9814534000845345552,1.83,2017-06-01 11:08:00
21,1186685127129229501,10.0,2017-06-01 11:13:00
22,2050423809815667474,4.15,2017-06-01 11:42:00
23,13788673445849105087,4.58,2017-06-01 13:29:00
24,6749200142647927813,1.22,2017-06-01 14:14:00
25,9402519610129672491,0.73,2017-06-01 14:19:00
26,4899721912549460321,1.47,2017-06-01 14:20:00
27,13128309044400650573,0.18,2017-06-01 14:22:00
28,1306739390297736782,1.34,2017-06-01 14:26:00
29,5694751597675088091,4.89,2017-06-01 14:29:00
30,11139390829640167076,6.72,2017-06-01 14:31:00
31,13830803930846284958,0.24,2017-06-01 14:36:00
32,13830803930846284958,0.73,2017-06-01 16:04:00
33,2050423809815667474,2.08,2017-06-01 16:31:00
34,1292867924428534308,4.28,2017-06-01 16:47:00
35,17654842465850522525,0.24,2017-06-01 16:50:00
36,14528467823744531564,2.2,2017-06-01 17:09:00
37,16389108399268371010,0.37,2017-06-01 17:14:00
38,5603453646174104178,1.53,2017-06-01 17:16:00
39,7939977454700153907,0.55,2017-06-01 17:19:00
40,13476545380596382515,2.08,2017-06-01 17:20:00
41,16237749256208665529,0.37,2017-06-01 17:22:00
42,11218073356336199381,110.0,2017-06-01 17:27:00
43,16674220541096562302,11.0,2017-06-01 17:33:00
44,5935881564136182668,4.89,2017-06-01 17:36:00
45,3963367130094376110,9.17,2017-06-01 18:07:00
46,18346008462625591446,2.44,2017-06-01 18:11:00
47,16237749256208665529,0.37,2017-06-01 18:35:00
48,9692543360951955041,2.32,2017-06-01 18:54:00
49,3621788520712541685,3.3,2017-06-01 19:02:00
50,2802806506908037623,2.14,2017-06-01 19:05:00
51,1445776368244927621,3.48,2017-06-01 19:22:00
52,11819047673449139952,1.1,2017-06-01 19:27:00
53,11819047673449139952,1.16,2017-06-01 19:36:00
54,13004013926921717095,0.18,2017-06-01 19:39:00
55,13326620244969465304,3.67,2017-06-01 19:48:00
56,10303622633602341332,2.81,2017-06-01 20:14:00
57,8655045207590755923,3.05,2017-06-01 20:16:00
58,10303622633602341332,1.4,2017-06-01 20:21:00
59,3755607085219326433,0.73,2017-06-01 20:23:00
60,8505275122433195603,2.44,2017-06-01 20:25:00
61,3520273333047097992,0.24,2017-06-01 20:35:00
62,2488656382467361677,0.37,2017-06-01 20:40:00
63,12248741502710236424,2.44,2017-06-01 20:51:00
64,14985189852169818380,0.92,2017-06-01 20:58:00
65,3738863118490040629,0.49,2017-06-01 21:02:00
66,9729244501093943694,2.44,2017-06-01 21:09:00
67,18124631666135248287,0.98,2017-06-01 21:12:00
68,8655045207590755923,3.05,2017-06-01 21:14:00
69,13596221371441143698,3.67,2017-06-01 21:19:00
70,7824202342768388517,1.22,2017-06-01 21:24:00
71,13939592583492255989,0.61,2017-06-01 21:25:00
72,16629405715417935041,7.33,2017-06-01 21:34:00
73,6599656347111031979,3.48,2017-06-01 21:42:00
74,17697346943645800950,0.85,2017-06-01 21:45:00
75,11726070853000284272,0.24,2017-06-01 21:45:00
76,5393972724164817668,3.3,2017-06-01 21:49:00
77,9347924435714817549,5.38,2017-06-01 21:50:00
78,5228169263697525536,6.72,2017-06-01 21:52:00
79,7362714695255833791,0.55,2017-06-01 21:53:00
80,11090956117380600507,2.2,2017-06-01 21:53:00
81,16629405715417935041,7.33,2017-06-01 21:56:00
82,17950587498543383909,0.98,2017-06-01 21:59:00
83,9101847584127812729,1.83,2017-06-01 21:59:00
84,8040175152097812665,9.78,2017-06-01 22:05:00
85,585738041899923335,0.15,2017-06-01 22:08:00
86,6579993173084588818,0.24,2017-06-01 22:20:00
87,5540795086971845219,1.47,2017-06-01 22:26:00
88,4134784971539361818,4.15,2017-06-01 22:27:00
89,18284967083997117828,3.42,2017-06-01 22:35:00
90,8085885878885667734,4.28,2017-06-01 22:36:00
91,1448747731515840830,18.33,2017-06-01 22:49:00
92,15651425822865363997,5.8,2017-06-01 22:56:00
93,13939592583492255989,0.61,2017-06-01 23:00:00
94,11274979605518496333,2.2,2017-06-01 23:00:00
95,4134784971539361818,4.15,2017-06-01 23:17:00
96,2139147779311957060,0.24,2017-06-02 00:04:00
97,13976954736506480008,3.89,2017-06-02 00:30:00
98,5767315025985717562,3.05,2017-06-02 00:49:00
99,12044090133793755196,1.22,2017-06-02 00:55:00
100,13189903617761702101,4.58,2017-06-02 01:47:00
101,10961925860435289171,4.89,2017-06-02 02:28:00
102,14246100255319556901,0.98,2017-06-02 08:35:00
103,8741433263041703060,13.75,2017-06-02 08:39:00
104,4627890001757671730,0.3,2017-06-02 08:42:00
105,4428482928085636621,14.67,2017-06-02 09:24:00
106,12580826049914769163,1.83,2017-06-02 09:41:00
107,7233675705277812183,2.2,2017-06-02 09:50:00
108,2807404817192475642,9.17,2017-06-02 09:56:00
109,9030861498633396506,2.32,2017-06-02 10:00:00
110,10356483959216554207,4.64,2017-06-02 10:04:00
111,2369645070944538824,2.32,2017-06-02 10:15:00
112,1210481103526146221,2.93,2017-06-02 10:18:00
113,9347924435714817549,2.69,2017-06-02 10:18:00
114,16755478264832799846,1.83,2017-06-02 10:34:00
115,17798581808419982152,3.05,2017-06-02 10:40:00
116,6464457230348112220,3.48,2017-06-02 10:53:00
117,11703978165784724501,2.2,2017-06-02 11:03:00
118,15266091910218530949,2.14,2017-06-02 11:06:00
119,18356291846186962799,7.94,2017-06-02 11:07:00
120,4341315891008130213,1.28,2017-06-02 11:23:00
121,4134784971539361818,2.08,2017-06-02 11:33:00
122,10574773787033238746,2.38,2017-06-02 11:41:00
123,2153658348329953576,4.89,2017-06-02 11:42:00
124,15228529605684885540,3.67,2017-06-02 11:46:00
125,10116135452198588850,1.22,2017-06-02 11:46:00
126,3146568862597774354,0.37,2017-06-02 11:47:00
127,15230857539371059354,1.22,2017-06-02 11:48:00
128,17437145219598045138,0.18,2017-06-02 11:52:00
129,6395439280015439216,3.05,2017-06-02 12:12:00
130,1351361558057820554,3.67,2017-06-02 12:20:00
131,17606865187098888614,0.37,2017-06-02 12:24:00
132,2339290020396488103,0.49,2017-06-02 12:26:00
133,18283164068049001576,3.89,2017-06-02 12:32:00
134,14028115454453445103,0.61,2017-06-02 12:33:00
135,123938579328720209,2.08,2017-06-02 12:34:00
136,308012096412021512,0.49,2017-06-02 12:39:00
137,17648921517901779207,22.0,2017-06-02 12:40:00
138,7423732129456637298,4.64,2017-06-02 12:42:00
139,3644482766749211722,0.85,2017-06-02 12:44:00
140,14234542224126981688,1.53,2017-06-02 12:46:00
141,16834079793805208235,2.32,2017-06-02 12:58:00
142,17008161102345737967,2.44,2017-06-02 13:04:00
143,10116135452198588850,5.5,2017-06-02 13:06:00
144,9483575085812707727,0.49,2017-06-02 13:09:00
145,14028115454453445103,0.15,2017-06-02 13:10:00
146,3146568862597774354,0.37,2017-06-02 13:16:00
147,13370136232592399618,4.89,2017-06-02 13:20:00
148,3520858494550896193,2.2,2017-06-02 13:26:00
149,14755900535288047227,7.33,2017-06-02 13:48:00
150,12835936629138870232,1.71,2017-06-02 13:55:00
151,2339290020396488103,1.47,2017-06-02 14:16:00
152,7189518422901022358,1.83,2017-06-02 14:23:00
153,10116135452198588850,2.44,2017-06-02 14:32:00
154,1119066889480682935,0.49,2017-06-02 14:56:00
155,3644482766749211722,12.83,2017-06-02 15:08:00
156,12357791634369603556,0.55,2017-06-02 15:11:00
157,5613453788267774517,3.48,2017-06-02 15:14:00
158,548150546551651319,1.83,2017-06-02 15:17:00
159,7847430889119039145,4.4,2017-06-02 15:45:00
160,751866705699228845,0.61,2017-06-02 15:49:00
161,4784496777630857280,3.67,2017-06-02 16:29:00
162,14939185131740777207,1.22,2017-06-02 16:40:00
163,3520858494550896193,0.73,2017-06-02 16:44:00
164,2791428098752514543,0.61,2017-06-02 16:45:00
165,12245223189911079639,3.67,2017-06-02 16:47:00
166,1069041816772830090,0.3,2017-06-02 16:51:00
167,6223165564350916964,0.61,2017-06-02 16:57:00
168,4971234915012259922,0.24,2017-06-02 17:03:00
169,13740804329910302209,0.37,2017-06-02 17:05:00
170,5046863338319566265,1.83,2017-06-02 17:10:00
171,15115462973614029728,2.69,2017-06-02 17:17:00
172,17932660987181535199,2.2,2017-06-02 17:24:00
173,10042262218052845742,0.3,2017-06-02 17:39:00
174,8994715356230590192,18.58,2017-06-02 17:42:00
175,971463777484207957,2.32,2017-06-02 17:44:00
176,3738863118490040629,2.69,2017-06-02 17:58:00
177,9486676430770533957,3.12,2017-06-02 18:05:00
178,9476406742452458514,0.61,2017-06-02 18:23:00
179,6555702697504179127,0.37,2017-06-02 18:29:00
180,10338544117796622708,2.44,2017-06-02 18:31:00
181,9893764347066784675,3.67,2017-06-02 18:41:00
182,9490885543814561414,1.95,2017-06-02 18:44:00
183,17014908376501071382,1.1,2017-06-02 18:49:00
184,10338544117796622708,2.44,2017-06-02 19:05:00
185,8684480204553369243,3.05,2017-06-02 19:15:00
186,12169678892452829103,0.61,2017-06-02 19:17:00
187,11601225246889834697,0.46,2017-06-02 19:18:00
188,14407535435182907694,1.53,2017-06-02 19:24:00
189,13506772790755333126,2.44,2017-06-02 19:36:00
190,16226086383309648934,2.32,2017-06-02 19:38:00
191,682688807801880721,0.73,2017-06-02 20:18:00
192,2359540376198725496,0.37,2017-06-02 20:36:00
193,1150701989604715843,3.3,2017-06-02 20:36:00
194,17976581132032550372,8.55,2017-06-02 20:45:00
195,9476406742452458514,0.15,2017-06-02 21:21:00
196,15224800612434078455,4.89,2017-06-02 21:34:00
197,327008925536897949,2.75,2017-06-02 21:50:00
198,11273961602733491261,0.98,2017-06-02 22:02:00
199,1384176974814072272,1.95,2017-06-02 22:18:00
200,13617122573229712798,2.2,2017-06-02 22:28:00
201,1069041816772830090,0.3,2017-06-02 22:33:00
202,11312500732989601801,2.32,2017-06-02 22:35:00
203,15558957263795183169,3.05,2017-06-02 22:35:00
204,15145732543179276624,8.55,2017-06-02 22:46:00
205,18252942666846284035,1.1,2017-06-02 23:00:00
206,17126245363095199309,0.18,2017-06-02 23:57:00
207,2758455486826339820,1.1,2017-06-03 00:24:00
208,8045822472757255061,0.3,2017-06-03 04:24:00
209,4083545142041234081,0.3,2017-06-03 05:58:00
210,10755604378030763136,2.44,2017-06-03 09:05:00
211,138933889262593703,0.15,2017-06-03 09:48:00
212,16117600481757651635,0.98,2017-06-03 10:06:00
213,1575281904278712,1.22,2017-06-03 10:13:00
214,10248725724638225794,4.89,2017-06-03 10:43:00
215,9400729021248222424,3.67,2017-06-03 10:44:00
216,10615959404443970151,0.3,2017-06-03 11:01:00
217,808557978755898346,4.28,2017-06-03 11:01:00
218,31782048561502182,6.11,2017-06-03 11:14:00
219,8813006667960260254,7.03,2017-06-03 11:20:00
220,15248519148082988599,0.46,2017-06-03 11:23:00
221,11920452646463905188,3.67,2017-06-03 11:27:00
222,2200675202057710261,4.89,2017-06-03 11:48:00
223,2232469251401337162,0.3,2017-06-03 11:50:00
224,9667577658644269267,6.23,2017-06-03 11:50:00
225,3526500097137358767,1.53,2017-06-03 12:34:00
226,2156471000111178404,0.3,2017-06-03 12:43:00
227,8741433263041703060,11.0,2017-06-03 12:44:00
228,11026980372977460081,0.18,2017-06-03 12:52:00
229,3493056878207813726,0.98,2017-06-03 12:54:00
230,10615959404443970151,0.15,2017-06-03 13:09:00
231,6999002025264542497,2.08,2017-06-03 13:25:00
232,5797417294488467521,0.61,2017-06-03 13:26:00
233,7508525456600641710,0.44,2017-06-03 13:27:00
234,15289609541136108713,2.2,2017-06-03 13:35:00
